article_id,indicator1,indicator2,indicator3
5e8228980dc171d3c93e750f,"('redflag8', tensor([[0.1545]]))","('redflag17', tensor([[0.1522]]))","('redflag11', tensor([[0.1457]]))"
5e8228980dc171d3c93e750b,"('redflag11', tensor([[0.0897]]))","('redflag10', tensor([[0.0764]]))","('redflag13', tensor([[0.0737]]))"
5e8228e30dc171d3c93e7545,"('redflag11', tensor([[0.1754]]))","('redflag18', tensor([[0.1732]]))","('redflag9', tensor([[0.1567]]))"
5e8229720dc171d3c93e758a,"('redflag10', tensor([[0.1442]]))","('redflag17', tensor([[0.1440]]))","('redflag8', tensor([[0.1435]]))"
5e82284f0dc171d3c93e74f2,"('redflag16', tensor([[0.1039]]))","('redflag14', tensor([[0.1023]]))","('redflag17', tensor([[0.0957]]))"
5e8228680dc171d3c93e74fd,"('redflag11', tensor([[0.0863]]))","('redflag9', tensor([[0.0779]]))","('redflag17', tensor([[0.0763]]))"
5e82293a0dc171d3c93e7561,"('redflag18', tensor([[0.1715]]))","('redflag19', tensor([[0.1703]]))","('redflag2', tensor([[0.1686]]))"
5e8229720dc171d3c93e758d,"('redflag16', tensor([[0.1262]]))","('redflag14', tensor([[0.1245]]))","('redflag11', tensor([[0.1017]]))"
5e8229850dc171d3c93e759a,"('redflag18', tensor([[0.1201]]))","('redflag16', tensor([[0.1149]]))","('redflag8', tensor([[0.1123]]))"
5e8229980dc171d3c93e75a2,"('redflag16', tensor([[0.0374]]))","('redflag18', tensor([[0.0350]]))","('redflag11', tensor([[0.0340]]))"
5e8229ea0dc171d3c93e75e2,"('redflag11', tensor([[0.0974]]))","('redflag10', tensor([[0.0819]]))","('redflag1', tensor([[0.0784]]))"
5e822a1f0dc171d3c93e75f2,"('redflag17', tensor([[0.1134]]))","('redflag16', tensor([[0.1013]]))","('redflag14', tensor([[0.1001]]))"
5e822a1f0dc171d3c93e75fe,"('redflag2', tensor([[0.1269]]))","('redflag1', tensor([[0.1174]]))","('redflag8', tensor([[0.1076]]))"
5e8229ad0dc171d3c93e75bb,"('redflag11', tensor([[0.1486]]))","('redflag10', tensor([[0.1266]]))","('redflag9', tensor([[0.1216]]))"
5e822a9e0dc171d3c93e7638,"('redflag9', tensor([[0.0484]]))","('redflag18', tensor([[0.0473]]))","('redflag11', tensor([[0.0404]]))"
5e822a610dc171d3c93e7622,"('redflag11', tensor([[0.1171]]))","('redflag10', tensor([[0.1156]]))","('redflag14', tensor([[0.1141]]))"
5e822a1f0dc171d3c93e75f7,"('redflag14', tensor([[0.0658]]))","('redflag16', tensor([[0.0657]]))","('redflag12', tensor([[0.0584]]))"
5e822a9e0dc171d3c93e7647,"('redflag14', tensor([[0.0896]]))","('redflag8', tensor([[0.0730]]))","('redflag17', tensor([[0.0709]]))"
5e822b540dc171d3c93e767b,"('redflag8', tensor([[0.0913]]))","('redflag10', tensor([[0.0792]]))","('redflag14', tensor([[0.0763]]))"
5e822a610dc171d3c93e761b,"('redflag17', tensor([[0.1613]]))","('redflag16', tensor([[0.1597]]))","('redflag14', tensor([[0.1553]]))"
5e822b540dc171d3c93e7693,"('redflag14', tensor([[0.1698]]))","('redflag17', tensor([[0.1652]]))","('redflag11', tensor([[0.1603]]))"
5e822b540dc171d3c93e766d,"('redflag14', tensor([[0.1101]]))","('redflag10', tensor([[0.1056]]))","('redflag11', tensor([[0.1020]]))"
5e822b540dc171d3c93e7687,"('redflag8', tensor([[0.0794]]))","('redflag14', tensor([[0.0783]]))","('redflag7', tensor([[0.0616]]))"
5e822b540dc171d3c93e7671,"('redflag14', tensor([[0.1740]]))","('redflag15', tensor([[0.1589]]))","('redflag17', tensor([[0.1574]]))"
5e822b540dc171d3c93e76ab,"('redflag13', tensor([[0.1707]]))","('redflag18', tensor([[0.1686]]))","('redflag6', tensor([[0.1667]]))"
5e822b540dc171d3c93e768b,"('redflag3', tensor([[0.1678]]))","('redflag5', tensor([[0.1332]]))","('redflag14', tensor([[0.1191]]))"
5e822b540dc171d3c93e766f,"('redflag14', tensor([[0.1101]]))","('redflag10', tensor([[0.1056]]))","('redflag11', tensor([[0.1020]]))"
5e822b540dc171d3c93e767d,"('redflag17', tensor([[0.1565]]))","('redflag11', tensor([[0.1502]]))","('redflag18', tensor([[0.1484]]))"
5e822b540dc171d3c93e76a7,"('redflag17', tensor([[0.1661]]))","('redflag11', tensor([[0.1649]]))","('redflag16', tensor([[0.1632]]))"
5e822b540dc171d3c93e7685,"('redflag11', tensor([[0.1920]]))","('redflag17', tensor([[0.1739]]))","('redflag13', tensor([[0.1737]]))"
5e822bf70dc171d3c93e777a,"('redflag13', tensor([[0.1097]]))","('redflag14', tensor([[0.1018]]))","('redflag19', tensor([[0.1014]]))"
5e822bf70dc171d3c93e776a,"('redflag10', tensor([[0.2151]]))","('redflag9', tensor([[0.1949]]))","('redflag7', tensor([[0.1910]]))"
5e822b540dc171d3c93e768c,"('redflag14', tensor([[0.1045]]))","('redflag17', tensor([[0.0962]]))","('redflag10', tensor([[0.0909]]))"
5e822bf70dc171d3c93e7779,"('redflag17', tensor([[0.1355]]))","('redflag11', tensor([[0.1225]]))","('redflag16', tensor([[0.0951]]))"
5e822bf70dc171d3c93e777b,"('redflag11', tensor([[0.1616]]))","('redflag3', tensor([[0.1602]]))","('redflag9', tensor([[0.1594]]))"
5e822c2b0dc171d3c93e77d5,"('redflag10', tensor([[0.1144]]))","('redflag8', tensor([[0.1050]]))","('redflag14', tensor([[0.1015]]))"
5e822bf70dc171d3c93e777f,"('redflag14', tensor([[0.1226]]))","('redflag10', tensor([[0.1197]]))","('redflag17', tensor([[0.1195]]))"
5e822c6f0dc171d3c93e77f3,"('redflag16', tensor([[0.1399]]))","('redflag17', tensor([[0.1288]]))","('redflag14', tensor([[0.1158]]))"
5e822cca0dc171d3c93e7832,"('redflag14', tensor([[0.0896]]))","('redflag8', tensor([[0.0730]]))","('redflag17', tensor([[0.0709]]))"
5e822d370dc171d3c93e786f,"('redflag16', tensor([[0.1043]]))","('redflag8', tensor([[0.0985]]))","('redflag14', tensor([[0.0974]]))"
5e822cca0dc171d3c93e7827,"('redflag11', tensor([[0.1042]]))","('redflag10', tensor([[0.0801]]))","('redflag8', tensor([[0.0796]]))"
5e822c6f0dc171d3c93e77fd,"('redflag11', tensor([[0.2242]]))","('redflag14', tensor([[0.1963]]))","('redflag16', tensor([[0.1917]]))"
5e822cca0dc171d3c93e782b,"('redflag7', tensor([[0.1444]]))","('redflag11', tensor([[0.1300]]))","('redflag17', tensor([[0.1281]]))"
5e822c6f0dc171d3c93e77ea,"('redflag7', tensor([[0.1712]]))","('redflag17', tensor([[0.1700]]))","('redflag11', tensor([[0.1684]]))"
